URI_Length,GET_Length,POST_Length,URI_Entropy,GET_Entropy,POST_Entropy,Numeric_Text_Ratio,Special_Char_Count,label
59,57,0,4.7678,4.679,0.0,0.0455,16,1
13,6,40,3.5466,2.585,4.2439,0.0833,11,0
30,22,0,4.0566,3.6978,0.0,0.1333,18,1
44,37,0,4.2179,3.9927,0.0,0.087,12,0
42,35,0,4.4516,4.3357,0.0,0.0,12,1
10,0,55,2.9219,0.0,4.4798,0.2407,11,1
20,13,40,4.0219,3.3927,4.1848,0.1034,15,0
43,33,0,4.1757,4.0667,0.0,0.0,27,1
23,13,40,3.882,2.7774,4.0587,0.0984,15,0
31,21,0,3.8457,3.4992,0.0,0.0,11,1
16,5,0,3.75,2.3219,0.0,0.25,5,0
9,0,39,2.7255,0.0,3.9772,0.0,11,1
33,23,0,4.162,3.7081,0.0,0.0,12,1
15,6,0,3.6402,2.585,0.0,0.1176,4,0
24,14,40,3.9183,3.3788,4.2628,0.0635,15,0
37,27,40,4.1549,3.9582,4.3153,0.0225,15,0
43,34,0,4.1002,3.8588,0.0,0.0,12,0
7,0,0,2.8074,0.0,0.0,0.0,1,0
38,24,0,4.5214,3.9702,0.0,0.0,15,1
9,0,48,3.1699,0.0,4.2563,0.0217,11,1
24,17,0,3.8554,3.3372,0.0,0.1379,12,0
13,0,34,3.5466,0.0,4.1163,0.0571,9,1
31,21,0,3.9905,3.4992,0.0,0.0,10,1
31,24,0,3.8213,3.4387,0.0,0.0,24,1
40,30,0,4.1726,3.7996,0.0,0.5283,17,1
30,20,0,3.7078,3.5464,0.0,0.0,8,0
39,30,0,4.1117,3.7647,0.0,0.0889,24,1
44,34,0,4.1209,3.8337,0.0,0.0606,12,0
9,0,0,2.9477,0.0,0.0,0.0,1,0
17,15,0,3.7345,3.5069,0.0,0.0833,8,0
5,0,0,2.3219,0.0,0.0,0.0,1,0
14,4,40,3.6645,2.0,4.0373,0.0851,11,0
9,0,40,2.9477,0.0,4.0939,0.0488,8,0
47,37,0,4.0518,3.8747,0.0,0.0278,12,0
29,22,0,4.3232,3.8454,0.0,0.2759,16,1
28,21,0,3.9138,3.4273,0.0,0.1081,12,0
64,57,0,4.8473,4.679,0.0,0.043,16,1
40,30,0,4.3414,3.7996,0.0,0.5185,16,1
32,24,0,3.7303,3.4387,0.0,0.0,24,1
37,26,40,4.1753,3.9022,4.1776,0.0964,20,0
24,14,0,3.8868,3.5216,0.0,0.1333,8,0
48,38,0,4.4844,4.0682,0.0,0.3714,16,1
35,25,0,3.7643,3.2627,0.0,0.0,12,0
